start_ts,end_ts,direction,move_pips,missed,no_intent_window,hour,weekday,sum_volume_m1,avg_volume_m1
2026-02-11T13:30:00Z,2026-02-11T15:00:00Z,UP,61.1,0,0,13,2,30140,334.8889
2026-02-12T00:11:00Z,2026-02-12T01:41:00Z,UP,24.6,1,0,0,3,5643,62.7
2026-02-12T12:54:00Z,2026-02-12T14:24:00Z,UP,27.1,1,0,12,3,7864,87.3778
2026-02-12T16:26:00Z,2026-02-12T17:56:00Z,UP,25.4,0,0,16,3,22129,245.8778
2026-02-12T18:21:00Z,2026-02-12T19:51:00Z,UP,21.8,0,0,18,3,9728,108.0889
2026-02-13T07:39:00Z,2026-02-13T09:09:00Z,UP,25.6,1,0,7,4,6753,75.0333
2026-02-13T13:21:00Z,2026-02-13T14:51:00Z,UP,34.9,1,0,13,4,24745,274.9444
2026-02-17T03:41:00Z,2026-02-17T05:11:00Z,UP,21.8,0,0,3,1,3316,36.8444
2026-02-17T15:34:00Z,2026-02-17T17:04:00Z,UP,38.8,1,0,15,1,15423,171.3667
2026-02-18T14:49:00Z,2026-02-18T16:19:00Z,UP,22.6,1,0,14,2,9396,104.4
2026-02-19T00:29:00Z,2026-02-19T01:59:00Z,UP,27.6,1,0,0,3,6863,76.2556
2026-02-19T06:08:00Z,2026-02-19T07:38:00Z,UP,23.2,1,1,6,3,3093,34.3667
2026-02-19T14:41:00Z,2026-02-19T16:11:00Z,UP,41.3,1,0,14,3,18767,208.5222
2026-02-20T08:09:00Z,2026-02-20T09:39:00Z,UP,27.3,1,0,8,4,6609,73.4333
2026-02-20T14:15:00Z,2026-02-20T15:45:00Z,UP,48.4,1,0,14,4,40697,452.1889
2026-02-20T17:20:00Z,2026-02-20T18:50:00Z,UP,33.1,1,0,17,4,19538,217.0889
2026-02-22T22:59:00Z,2026-02-23T00:29:00Z,UP,30.9,0,0,22,6,6694,74.3778
2026-02-24T01:31:00Z,2026-02-24T03:01:00Z,UP,21.6,1,0,1,1,6007,66.7444
2026-02-24T15:02:00Z,2026-02-24T16:32:00Z,UP,32.4,1,1,15,1,11384,126.4889
2026-02-25T00:06:00Z,2026-02-25T01:36:00Z,UP,27.5,1,0,0,2,7746,86.0667
2026-02-25T02:23:00Z,2026-02-25T03:53:00Z,UP,24.4,1,0,2,2,8373,93.0333
2026-02-25T11:46:00Z,2026-02-25T13:16:00Z,UP,21.4,0,0,11,2,4692,52.1333
2026-02-25T15:35:00Z,2026-02-25T17:05:00Z,UP,23.2,1,1,15,2,6368,70.7556
2026-02-26T15:28:00Z,2026-02-26T16:58:00Z,UP,31.8,0,0,15,3,15910,176.7778
2026-02-26T18:07:00Z,2026-02-26T19:37:00Z,UP,31.1,1,0,18,3,6342,70.4667
2026-02-27T01:49:00Z,2026-02-27T03:19:00Z,UP,21.2,1,1,1,4,4660,51.7778
2026-02-27T13:41:00Z,2026-02-27T15:11:00Z,UP,37.6,1,0,13,4,14525,161.3889
2026-03-02T00:00:00Z,2026-03-02T01:30:00Z,UP,56.0,1,0,0,0,13481,149.7889
2026-03-02T08:24:00Z,2026-03-02T09:54:00Z,UP,45.9,0,0,8,0,10651,118.3444
2026-03-02T14:01:00Z,2026-03-02T15:31:00Z,UP,35.4,0,0,14,0,20455,227.2778
2026-03-03T00:26:00Z,2026-03-03T01:56:00Z,UP,26.8,1,0,0,1,8517,94.6333
2026-03-03T11:20:00Z,2026-03-03T12:50:00Z,UP,37.4,1,0,11,1,17479,194.2111
2026-03-03T15:17:00Z,2026-03-03T16:47:00Z,UP,82.9,0,0,15,1,36340,403.7778
2026-03-04T01:33:00Z,2026-03-04T03:03:00Z,UP,34.6,0,0,1,2,15018,166.8667
2026-03-04T09:07:00Z,2026-03-04T10:37:00Z,UP,61.1,1,0,9,2,19504,216.7111
2026-03-04T14:35:00Z,2026-03-04T16:05:00Z,UP,38.2,0,0,14,2,22536,250.4
2026-03-04T18:20:00Z,2026-03-04T19:50:00Z,UP,20.9,1,0,18,2,4765,52.9444
2026-03-05T08:29:00Z,2026-03-05T09:59:00Z,UP,58.8,0,0,8,3,20670,229.6667
2026-03-05T14:46:00Z,2026-03-05T16:16:00Z,UP,28.2,1,0,14,3,23922,265.8
2026-03-05T19:36:00Z,2026-03-05T21:06:00Z,UP,40.4,1,0,19,3,14509,161.2111
2026-03-06T00:05:00Z,2026-03-06T01:35:00Z,UP,20.3,1,0,0,4,6803,75.5889
2026-03-06T14:37:00Z,2026-03-06T16:07:00Z,UP,44.1,0,0,14,4,38699,429.9889
2026-03-09T01:30:00Z,2026-03-09T03:00:00Z,UP,35.7,1,0,1,0,15723,174.7
2026-03-09T08:29:00Z,2026-03-09T09:59:00Z,UP,51.4,0,0,8,0,20510,227.8889
2026-03-09T14:11:00Z,2026-03-09T15:41:00Z,UP,33.7,0,0,14,0,27196,302.1778
2026-03-09T17:59:00Z,2026-03-09T19:29:00Z,UP,44.5,1,0,17,0,11436,127.0667
2026-03-10T05:44:00Z,2026-03-10T07:14:00Z,UP,43.6,1,0,5,1,8491,94.3444
2026-03-10T09:01:00Z,2026-03-10T10:31:00Z,UP,23.5,1,0,9,1,10494,116.6
2026-03-10T14:09:00Z,2026-03-10T15:39:00Z,UP,44.6,1,0,14,1,16751,186.1222
2026-03-11T01:25:00Z,2026-03-11T02:55:00Z,UP,38.1,1,0,1,2,8232,91.4667
2026-03-11T09:56:00Z,2026-03-11T11:26:00Z,UP,25.1,1,0,9,2,8686,96.5111
2026-03-11T12:53:00Z,2026-03-11T14:23:00Z,UP,42.4,1,0,12,2,23372,259.6889
