entry_ts,exit_ts,side,leg,reason,base_units_opened,dynamic_units_opened,scale,base_pnl_usd,compounded_pnl_usd,balance_before,balance_after,liquidated
2026-02-13T10:00:00.000000000Z,2026-02-13T11:52:00.000000000Z,SHORT,RUNNER,RUNNER_STOP,21000.0000,52574.4266,2.50354412,28.066500,70.265721,1230.857844,1301.123565,0
2026-02-13T12:45:00.000000000Z,2026-02-13T13:30:00.000000000Z,LONG,TP1,TP1,21000.0000,57824.8448,2.75356404,18.238500,50.220878,1301.123565,1351.344443,0
2026-02-13T12:45:00.000000000Z,2026-02-13T13:30:00.000000000Z,LONG,RUNNER,RUNNER_STOP,21000.0000,57824.8448,2.75356404,28.066500,77.282905,1351.344443,1428.627348,0
2026-02-13T15:45:00.000000000Z,2026-02-13T16:45:00.000000000Z,SHORT,EXIT,FLIP,21000.0000,63437.4405,3.02083050,-15.540000,-46.943706,1428.627348,1381.683642,0
2026-02-13T16:45:00.000000000Z,2026-02-13T19:15:00.000000000Z,LONG,EXIT,FLIP,21000.0000,61288.6907,2.91850908,23.100000,67.417560,1381.683642,1449.101202,0
2026-02-13T19:15:00.000000000Z,2026-02-13T21:45:00.000000000Z,SHORT,EXIT,FLIP,21000.0000,64179.3073,3.05615749,9.030000,27.597102,1449.101202,1476.698304,0
2026-02-13T21:45:00.000000000Z,2026-02-16T02:00:00.000000000Z,LONG,EXIT,FLIP,21000.0000,65441.3104,3.11625288,14.280000,44.500091,1476.698304,1521.198395,0
2026-02-16T02:00:00.000000000Z,2026-02-16T05:45:00.000000000Z,SHORT,EXIT,FLIP,21000.0000,67348.6368,3.20707794,-14.910000,-47.817532,1521.198395,1473.380863,0
2026-02-16T05:45:00.000000000Z,2026-02-16T07:00:00.000000000Z,LONG,EXIT,FLIP,21000.0000,65166.2506,3.10315479,-7.140000,-22.156525,1473.380863,1451.224338,0
2026-02-16T07:00:00.000000000Z,2026-02-16T12:00:00.000000000Z,SHORT,EXIT,FLIP,21000.0000,64217.0917,3.05795675,-2.100000,-6.421709,1451.224338,1444.802629,0
2026-02-16T12:00:00.000000000Z,2026-02-17T01:53:00.000000000Z,LONG,EXIT,SL,21000.0000,63923.9065,3.04399555,-60.270000,-183.461612,1444.802629,1261.341017,0
2026-02-17T03:45:00.000000000Z,2026-02-17T07:00:00.000000000Z,LONG,EXIT,FLIP,21000.0000,56042.5189,2.66869137,10.290000,27.460834,1261.341017,1288.801851,0
2026-02-17T07:00:00.000000000Z,2026-02-17T14:15:00.000000000Z,SHORT,EXIT,FLIP,21000.0000,57222.8898,2.72489951,23.730000,64.661865,1288.801851,1353.463717,0
2026-02-17T14:15:00.000000000Z,2026-02-17T18:18:00.000000000Z,LONG,TP1,TP1,21000.0000,60190.2086,2.86620041,18.238500,52.275196,1353.463717,1405.738913,0
2026-02-17T14:15:00.000000000Z,2026-02-17T18:18:00.000000000Z,LONG,RUNNER,RUNNER_STOP,21000.0000,60190.2086,2.86620041,28.066500,80.444214,1405.738913,1486.183127,0
2026-02-17T19:15:00.000000000Z,2026-02-18T13:52:00.000000000Z,SHORT,TP1,TP1,21000.0000,65799.3207,3.13330099,18.238500,57.146710,1486.183127,1543.329837,0
2026-02-17T19:15:00.000000000Z,2026-02-18T13:52:00.000000000Z,SHORT,RUNNER,RUNNER_STOP,21000.0000,65799.3207,3.13330099,28.066500,87.940792,1543.329837,1631.270629,0
2026-02-18T14:30:00.000000000Z,2026-02-19T14:25:00.000000000Z,LONG,EXIT,SL,21000.0000,72421.3470,3.44863557,-60.270000,-207.849266,1631.270629,1423.421363,0
2026-02-19T17:30:00.000000000Z,2026-02-19T18:30:00.000000000Z,SHORT,EXIT,FLIP,21000.0000,63285.1527,3.01357870,-6.300000,-18.985546,1423.421363,1404.435817,0
2026-02-19T18:30:00.000000000Z,2026-02-19T19:30:00.000000000Z,LONG,EXIT,FLIP,21000.0000,62414.5030,2.97211919,-18.270000,-54.300618,1404.435817,1350.135199,0
2026-02-19T19:30:00.000000000Z,2026-02-19T20:30:00.000000000Z,SHORT,EXIT,FLIP,21000.0000,60075.4208,2.86073433,-14.490000,-41.452040,1350.135199,1308.683159,0
2026-02-19T20:30:00.000000000Z,2026-02-20T01:50:00.000000000Z,LONG,EXIT,SL,21000.0000,58174.0050,2.77019071,-60.270000,-166.959394,1308.683159,1141.723765,0
2026-02-20T03:00:00.000000000Z,2026-02-20T07:07:00.000000000Z,LONG,TP1,TP1,21000.0000,50921.2275,2.42482036,18.238500,44.225086,1141.723765,1185.948851,0
2026-02-20T03:00:00.000000000Z,2026-02-20T07:07:00.000000000Z,LONG,RUNNER,RUNNER_STOP,21000.0000,50921.2275,2.42482036,28.066500,68.056221,1185.948851,1254.005071,0
2026-02-20T07:45:00.000000000Z,2026-02-20T13:15:00.000000000Z,SHORT,EXIT,FLIP,21000.0000,55833.6893,2.65874711,-25.620000,-68.117101,1254.005071,1185.887970,0
2026-02-20T13:15:00.000000000Z,2026-02-20T15:01:00.000000000Z,LONG,TP1,TP1,21000.0000,52709.4947,2.50997594,18.238500,45.778196,1185.887970,1231.666166,0
2026-02-20T13:15:00.000000000Z,2026-02-20T15:01:00.000000000Z,LONG,RUNNER,RUNNER_STOP,21000.0000,52709.4947,2.50997594,28.066500,70.446240,1231.666166,1302.112406,0
2026-02-20T17:00:00.000000000Z,2026-02-22T23:30:00.000000000Z,SHORT,EXIT,SL,21000.0000,57745.9987,2.74980946,-60.270000,-165.731016,1302.112406,1136.381390,0
2026-02-23T00:30:00.000000000Z,2026-02-23T02:05:00.000000000Z,SHORT,TP1,TP1,21000.0000,50210.7856,2.39098979,18.238500,43.608067,1136.381390,1179.989457,0
2026-02-23T00:30:00.000000000Z,2026-02-23T02:05:00.000000000Z,SHORT,RUNNER,RUNNER_STOP,21000.0000,50210.7856,2.39098979,28.066500,67.106715,1179.989457,1247.096172,0
2026-02-23T04:30:00.000000000Z,2026-02-23T07:30:00.000000000Z,LONG,EXIT,FLIP,21000.0000,55281.1179,2.63243418,10.920000,28.746181,1247.096172,1275.842353,0
2026-02-23T07:30:00.000000000Z,2026-02-23T12:24:00.000000000Z,SHORT,TP1,TP1,21000.0000,56513.8224,2.69113440,18.238500,49.082255,1275.842353,1324.924608,0
2026-02-23T07:30:00.000000000Z,2026-02-23T12:24:00.000000000Z,SHORT,RUNNER,RUNNER_STOP,21000.0000,56513.8224,2.69113440,28.066500,75.530724,1324.924608,1400.455332,0
2026-02-23T13:00:00.000000000Z,2026-02-24T12:20:00.000000000Z,LONG,EXIT,SL,21000.0000,62124.8810,2.95832767,-60.270000,-178.298408,1400.455332,1222.156923,0
2026-02-24T12:45:00.000000000Z,2026-02-24T16:12:00.000000000Z,LONG,TP1,TP1,21000.0000,54398.6761,2.59041315,18.238500,47.245250,1222.156923,1269.402173,0
2026-02-24T12:45:00.000000000Z,2026-02-24T16:12:00.000000000Z,LONG,RUNNER,RUNNER_STOP,21000.0000,54398.6761,2.59041315,28.066500,72.703831,1269.402173,1342.106004,0
2026-02-24T17:30:00.000000000Z,2026-02-24T20:30:00.000000000Z,SHORT,EXIT,FLIP,21000.0000,59575.2541,2.83691686,-4.620000,-13.106556,1342.106004,1328.999448,0
2026-02-24T20:30:00.000000000Z,2026-02-25T02:31:00.000000000Z,LONG,TP1,TP1,21000.0000,58975.0912,2.80833768,18.238500,51.219867,1328.999448,1380.219315,0
2026-02-24T20:30:00.000000000Z,2026-02-25T02:31:00.000000000Z,LONG,RUNNER,RUNNER_STOP,21000.0000,58975.0912,2.80833768,28.066500,78.820209,1380.219315,1459.039524,0
2026-02-25T07:15:00.000000000Z,2026-02-25T09:38:00.000000000Z,SHORT,TP1,TP1,21000.0000,64338.6068,3.06374318,18.238500,55.878080,1459.039524,1514.917604,0
2026-02-25T07:15:00.000000000Z,2026-02-25T09:38:00.000000000Z,SHORT,RUNNER,RUNNER_STOP,21000.0000,64338.6068,3.06374318,28.066500,85.988548,1514.917604,1600.906152,0
2026-02-25T11:45:00.000000000Z,2026-02-25T15:18:00.000000000Z,LONG,TP1,TP1,21000.0000,70876.5698,3.37507475,18.238500,61.556301,1600.906152,1662.462453,0
