entry_ts,exit_ts,side,units_opened,units_closed,entry_price,exit_price,leg,reason,pnl_pips,pnl_pips_weighted,pnl_usd,mae_pips,equity,hold_bars,comp_units_opened,comp_units_closed,comp_pnl_usd,comp_balance
2026-02-06T12:15:00.000000000Z,2026-02-06T14:33:00.000000000Z,LONG,8000.00,2400.00,0.69840,0.70034,TP1,TP1,19.35,5.81,4.6440,-2.85,25.5240,8,0,3185,6.162975,266.316080
2026-02-06T12:15:00.000000000Z,2026-02-06T14:33:00.000000000Z,LONG,8000.00,5600.00,0.69840,0.70034,RUNNER,RUNNER_STOP,19.35,13.55,10.8360,-2.85,36.3600,8,0,7431,14.378985,280.695065
2026-02-06T15:45:00.000000000Z,2026-02-06T15:45:00.000000000Z,SHORT,8000.00,0.00,0.70054,0.70054,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,36.3600,0,11419,0,0.000000,280.695065
2026-02-06T15:45:00.000000000Z,2026-02-06T18:30:00.000000000Z,SHORT,8000.00,8000.00,0.70054,0.70222,EXIT,FLIP,-16.80,-16.80,-13.4400,-19.55,22.9200,11,0,11419,-19.183920,261.511145
2026-02-06T18:30:00.000000000Z,2026-02-06T18:30:00.000000000Z,LONG,8000.00,0.00,0.70222,0.70222,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,22.9200,0,10613,0,0.000000,261.511145
2026-02-06T18:30:00.000000000Z,2026-02-06T21:45:00.000000000Z,LONG,8000.00,8000.00,0.70222,0.70127,EXIT,FLIP,-9.60,-9.60,-7.6800,-9.05,15.2400,13,0,10613,-10.188480,251.322665
2026-02-06T21:45:00.000000000Z,2026-02-06T21:45:00.000000000Z,SHORT,8000.00,0.00,0.70127,0.70127,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,15.2400,0,10213,0,0.000000,251.322665
2026-02-06T21:45:00.000000000Z,2026-02-09T03:00:00.000000000Z,SHORT,8000.00,8000.00,0.70127,0.70288,EXIT,FLIP,-16.20,-16.20,-12.9600,-25.15,2.2800,21,0,10213,-16.545060,234.777605
2026-02-09T03:00:00.000000000Z,2026-02-09T03:00:00.000000000Z,LONG,8000.00,0.00,0.70288,0.70288,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,2.2800,0,9519,0,0.000000,234.777605
2026-02-09T03:00:00.000000000Z,2026-02-09T03:45:00.000000000Z,LONG,8000.00,8000.00,0.70288,0.70214,EXIT,FLIP,-7.50,-7.50,-6.0000,-7.75,-3.7200,3,0,9519,-7.139250,227.638355
2026-02-09T03:45:00.000000000Z,2026-02-09T03:45:00.000000000Z,SHORT,8000.00,0.00,0.70214,0.70214,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-3.7200,0,9239,0,0.000000,227.638355
2026-02-09T03:45:00.000000000Z,2026-02-09T05:00:00.000000000Z,SHORT,8000.00,8000.00,0.70214,0.70266,EXIT,FLIP,-5.30,-5.30,-4.2400,-6.85,-7.9600,5,0,9239,-4.896670,222.741685
2026-02-09T05:00:00.000000000Z,2026-02-09T05:00:00.000000000Z,LONG,8000.00,0.00,0.70266,0.70266,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-7.9600,0,9034,0,0.000000,222.741685
2026-02-09T05:00:00.000000000Z,2026-02-09T07:15:00.000000000Z,LONG,8000.00,8000.00,0.70266,0.70322,EXIT,FLIP,5.50,5.50,4.4000,-3.05,-3.5600,9,0,9034,4.968700,227.710385
2026-02-09T07:15:00.000000000Z,2026-02-09T07:15:00.000000000Z,SHORT,8000.00,0.00,0.70322,0.70322,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-3.5600,0,9228,0,0.000000,227.710385
2026-02-09T07:15:00.000000000Z,2026-02-09T11:30:00.000000000Z,SHORT,8000.00,8000.00,0.70322,0.70322,EXIT,FLIP,-0.10,-0.10,-0.0800,-13.25,-3.6400,17,0,9228,-0.092280,227.618105
2026-02-09T11:30:00.000000000Z,2026-02-09T11:30:00.000000000Z,LONG,8000.00,0.00,0.70322,0.70322,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-3.6400,0,9224,0,0.000000,227.618105
2026-02-09T11:30:00.000000000Z,2026-02-09T13:05:00.000000000Z,LONG,8000.00,2400.00,0.70322,0.70516,TP1,TP1,19.35,5.81,4.6440,-2.25,1.0040,5,0,2767,5.354145,232.972250
2026-02-09T11:30:00.000000000Z,2026-02-09T13:05:00.000000000Z,LONG,8000.00,5600.00,0.70322,0.70516,RUNNER,RUNNER_STOP,19.35,13.55,10.8360,-2.25,11.8400,5,0,6457,12.494295,245.466545
2026-02-09T16:15:00.000000000Z,2026-02-09T16:15:00.000000000Z,SHORT,8000.00,0.00,0.70837,0.70837,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,11.8400,0,9875,0,0.000000,245.466545
2026-02-09T16:15:00.000000000Z,2026-02-09T21:45:00.000000000Z,SHORT,8000.00,8000.00,0.70837,0.70945,EXIT,FLIP,-10.80,-10.80,-8.6400,-15.15,3.2000,22,0,9875,-10.665000,234.801545
2026-02-09T21:45:00.000000000Z,2026-02-09T21:45:00.000000000Z,LONG,8000.00,0.00,0.70945,0.70945,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,3.2000,0,9432,0,0.000000,234.801545
2026-02-09T21:45:00.000000000Z,2026-02-10T06:12:00.000000000Z,LONG,8000.00,8000.00,0.70945,0.70659,EXIT,SL,-28.65,-28.65,-22.9200,-27.95,-19.7200,32,0,9432,-27.022680,207.778865
2026-02-10T06:45:00.000000000Z,2026-02-10T06:45:00.000000000Z,LONG,8000.00,0.00,0.70691,0.70691,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,-19.7200,0,8376,0,0.000000,207.778865
2026-02-10T06:45:00.000000000Z,2026-02-10T09:45:00.000000000Z,LONG,8000.00,8000.00,0.70691,0.70736,EXIT,FLIP,4.50,4.50,3.6000,-4.45,-16.1200,12,0,8376,3.769200,211.548065
2026-02-10T09:45:00.000000000Z,2026-02-10T09:45:00.000000000Z,SHORT,8000.00,0.00,0.70736,0.70736,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-16.1200,0,8523,0,0.000000,211.548065
2026-02-10T09:45:00.000000000Z,2026-02-10T13:45:00.000000000Z,SHORT,8000.00,8000.00,0.70736,0.70754,EXIT,FLIP,-1.90,-1.90,-1.5200,-6.05,-17.6400,16,0,8523,-1.619370,209.928695
