status,direction,move,hour,dow,ret8,ret4,atr8,atr12,rng8,comp,body_to_range,breakout_up,breakout_dn,prior_disagree
aligned,short,51.2,14,3,9.500000000000064,8.499999999999064,8.17499999999985,6.841666666666616,27.099999999999902,3.3149847094801714,0.5703363914373041,False,False,True
aligned,short,35.5,5,4,-5.0000000000005596,-4.20000000000087,5.36250000000002,5.483333333333358,13.400000000000079,2.498834498834504,0.5780885780885847,False,False,False
aligned,short,39.9,0,4,-5.299999999999194,-2.4000000000001798,3.1874999999999263,2.9083333333333274,10.700000000000154,3.356862745098165,0.3686274509803775,False,False,False
aligned,short,35.4,23,6,13.499999999999623,16.29999999999909,6.450000000000205,5.4833333333334515,22.600000000000396,3.503875968992198,0.5639534883720474,True,False,True
aligned,short,55.3,13,3,3.1999999999998696,0.7999999999996898,4.4874999999997005,4.474999999999711,12.199999999999989,2.7186629526464183,0.5181058495821688,True,False,True
opposed_only,short,76.7,20,4,5.0000000000005596,3.8000000000004697,4.200000000000453,4.783333333333676,9.600000000000719,2.28571428571421,0.44047619047615394,True,False,True
flat,short,35.5,5,0,-30.89999999999926,-19.299999999999873,7.937500000000098,8.000000000000044,32.29999999999955,4.069291338582571,0.5811023622046952,False,False,False
aligned,short,32.7,10,0,25.199999999999665,13.900000000000023,11.449999999999932,11.749999999999908,37.4999999999992,3.275109170305626,0.6168122270742443,False,False,True
opposed_only,short,31.2,15,0,15.999999999999348,15.699999999999603,12.275000000000064,11.191666666666803,31.90000000000026,2.5987780040733273,0.5570264765784172,True,False,True
aligned,short,32.0,19,0,29.70000000000028,24.89999999999992,8.212500000000095,8.900000000000112,31.400000000000315,3.8234398782343932,0.6818873668188887,True,False,True
aligned,short,31.3,4,1,12.199999999999989,9.099999999999664,9.97500000000026,11.033333333333543,27.199999999999445,2.7268170426063896,0.3997493734335907,False,False,True
opposed_only,short,51.7,7,1,-11.599999999999389,7.400000000000739,10.25000000000012,9.01666666666671,30.200000000000227,2.9463414634146217,0.5353658536585308,False,False,False
opposed_only,short,75.8,13,1,14.999999999999458,2.9999999999996696,13.587500000000057,13.641666666666755,38.000000000000256,2.796688132474708,0.34590616375343686,False,False,True
aligned,short,55.1,23,1,-1.7000000000000348,2.80000000000058,6.374999999999992,6.5166666666667075,16.1,2.525490196078435,0.680392156862806,False,False,False
aligned,short,31.6,1,3,6.999999999999229,0.0,5.012499999999948,4.650000000000024,13.299999999999423,2.6533665835410596,0.3216957605985104,False,False,True
opposed_only,short,35.6,6,3,-18.50000000000018,-4.3999999999999595,7.749999999999979,7.208333333333187,28.000000000000245,3.6129032258064933,0.41290322580647176,False,False,False
