entry_ts,exit_ts,side,units_opened,units_closed,entry_price,exit_price,leg,reason,pnl_pips,pnl_pips_weighted,pnl_usd,mae_pips,equity,hold_bars,entry_components
2026-03-04T15:15:00.000000000Z,2026-03-04T18:00:00.000000000Z,LONG,21000.00,21000.00,0.70693,0.70643,EXIT,FLIP,-5.00,-5.00,-10.5000,-14.10,-153.0900,11,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-04T18:00:00.000000000Z,2026-03-04T18:00:00.000000000Z,SHORT,21000.00,0.00,0.70643,0.70643,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-153.0900,0,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-04T18:00:00.000000000Z,2026-03-05T00:00:00.000000000Z,SHORT,21000.00,21000.00,0.70643,0.70800,EXIT,FLIP,-15.70,-15.70,-32.9700,-19.10,-186.0600,24,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-05T00:00:00.000000000Z,2026-03-05T00:00:00.000000000Z,LONG,21000.00,0.00,0.70800,0.70800,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-186.0600,0,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-05T00:00:00.000000000Z,2026-03-05T01:30:00.000000000Z,LONG,21000.00,21000.00,0.70800,0.70693,EXIT,FLIP,-10.70,-10.70,-22.4700,-12.00,-208.5300,6,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-05T01:30:00.000000000Z,2026-03-05T01:30:00.000000000Z,SHORT,21000.00,0.00,0.70693,0.70693,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-208.5300,0,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-05T01:30:00.000000000Z,2026-03-05T04:03:00.000000000Z,SHORT,21000.00,6300.00,0.70693,0.70500,TP1,TP1,19.30,5.79,12.1590,-5.40,-196.3710,9,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-05T01:30:00.000000000Z,2026-03-05T04:03:00.000000000Z,SHORT,21000.00,14700.00,0.70693,0.70480,RUNNER,RUNNER_STOP,21.30,14.91,31.3110,-5.40,-165.0600,9,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-05T06:45:00.000000000Z,2026-03-05T06:45:00.000000000Z,LONG,21000.00,0.00,0.70477,0.70477,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,-165.0600,0,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-05T06:45:00.000000000Z,2026-03-05T08:09:00.000000000Z,LONG,21000.00,21000.00,0.70477,0.70190,EXIT,SL,-28.70,-28.70,-60.2700,-27.50,-225.3300,4,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-05T09:00:00.000000000Z,2026-03-05T09:00:00.000000000Z,LONG,21000.00,0.00,0.70671,0.70671,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,-225.3300,0,cross=1;pullback=0;rejoin=0;continuation=0
2026-03-05T09:00:00.000000000Z,2026-03-05T09:52:00.000000000Z,LONG,21000.00,21000.00,0.70671,0.70384,EXIT,SL,-28.70,-28.70,-60.2700,-27.50,-285.6000,2,cross=1;pullback=0;rejoin=0;continuation=0
2026-03-05T10:30:00.000000000Z,2026-03-05T10:30:00.000000000Z,SHORT,21000.00,0.00,0.70419,0.70419,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,-285.6000,0,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-05T10:30:00.000000000Z,2026-03-05T14:39:00.000000000Z,SHORT,21000.00,6300.00,0.70419,0.70226,TP1,TP1,19.30,5.79,12.1590,-16.50,-273.4410,15,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-05T10:30:00.000000000Z,2026-03-05T14:39:00.000000000Z,SHORT,21000.00,14700.00,0.70419,0.70206,RUNNER,RUNNER_STOP,21.30,14.91,31.3110,-16.50,-242.1300,15,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-05T14:45:00.000000000Z,2026-03-05T14:45:00.000000000Z,LONG,21000.00,0.00,0.70377,0.70377,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,-242.1300,0,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-05T14:45:00.000000000Z,2026-03-05T15:30:00.000000000Z,LONG,21000.00,21000.00,0.70377,0.70090,EXIT,SL,-28.70,-28.70,-60.2700,-28.70,-302.4000,2,cross=1;pullback=1;rejoin=1;continuation=0
2026-03-05T18:30:00.000000000Z,2026-03-05T18:30:00.000000000Z,LONG,21000.00,0.00,0.69932,0.69932,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,-302.4000,0,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-05T18:30:00.000000000Z,2026-03-05T20:50:00.000000000Z,LONG,21000.00,6300.00,0.69932,0.70125,TP1,TP1,19.30,5.79,12.1590,-19.30,-290.2410,8,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-05T18:30:00.000000000Z,2026-03-05T20:50:00.000000000Z,LONG,21000.00,14700.00,0.69932,0.70145,RUNNER,RUNNER_STOP,21.30,14.91,31.3110,-19.30,-258.9300,8,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-05T23:45:00.000000000Z,2026-03-05T23:45:00.000000000Z,SHORT,21000.00,0.00,0.70087,0.70087,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,-258.9300,0,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-05T23:45:00.000000000Z,2026-03-06T02:03:00.000000000Z,SHORT,21000.00,21000.00,0.70087,0.70374,EXIT,SL,-28.70,-28.70,-60.2700,-27.40,-319.2000,8,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-06T08:15:00.000000000Z,2026-03-06T08:15:00.000000000Z,SHORT,21000.00,0.00,0.70314,0.70314,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,-319.2000,0,cross=1;pullback=0;rejoin=0;continuation=0
2026-03-06T08:15:00.000000000Z,2026-03-06T09:36:00.000000000Z,SHORT,21000.00,6300.00,0.70314,0.70121,TP1,TP1,19.30,5.79,12.1590,-10.80,-307.0410,4,cross=1;pullback=0;rejoin=0;continuation=0
2026-03-06T08:15:00.000000000Z,2026-03-06T09:36:00.000000000Z,SHORT,21000.00,14700.00,0.70314,0.70101,RUNNER,RUNNER_STOP,21.30,14.91,31.3110,-10.80,-275.7300,4,cross=1;pullback=0;rejoin=0;continuation=0
2026-03-06T10:45:00.000000000Z,2026-03-06T10:45:00.000000000Z,LONG,21000.00,0.00,0.70109,0.70109,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,-275.7300,0,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-06T10:45:00.000000000Z,2026-03-06T13:55:00.000000000Z,LONG,21000.00,21000.00,0.70109,0.69822,EXIT,SL,-28.70,-28.70,-60.2700,-27.70,-336.0000,11,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-06T16:00:00.000000000Z,2026-03-06T16:00:00.000000000Z,LONG,21000.00,0.00,0.70099,0.70099,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,-336.0000,0,cross=0;pullback=1;rejoin=1;continuation=0
2026-03-06T16:00:00.000000000Z,2026-03-06T17:30:00.000000000Z,LONG,21000.00,21000.00,0.70099,0.70115,EXIT,FLIP,1.60,1.60,3.3600,-0.70,-332.6400,6,cross=0;pullback=1;rejoin=1;continuation=0
2026-03-06T17:30:00.000000000Z,2026-03-06T17:30:00.000000000Z,SHORT,21000.00,0.00,0.70115,0.70115,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-332.6400,0,cross=1;pullback=0;rejoin=0;continuation=0
2026-03-06T17:30:00.000000000Z,2026-03-06T21:45:00.000000000Z,SHORT,21000.00,21000.00,0.70115,0.70307,EXIT,FLIP,-19.20,-19.20,-40.3200,-20.50,-372.9600,17,cross=1;pullback=0;rejoin=0;continuation=0
2026-03-06T21:45:00.000000000Z,2026-03-06T21:45:00.000000000Z,LONG,21000.00,0.00,0.70307,0.70307,ENTRY,FLIP_ENTRY,0.00,0.00,0.0000,0.00,-372.9600,0,cross=0;pullback=1;rejoin=1;continuation=0
2026-03-06T21:45:00.000000000Z,2026-03-08T21:04:00.000000000Z,LONG,21000.00,21000.00,0.70307,0.70020,EXIT,SL,-28.70,-28.70,-60.2700,-44.60,-433.2300,0,cross=0;pullback=1;rejoin=1;continuation=0
2026-03-09T01:00:00.000000000Z,2026-03-09T01:00:00.000000000Z,LONG,21000.00,0.00,0.69699,0.69699,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,-433.2300,0,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-09T01:00:00.000000000Z,2026-03-09T02:54:00.000000000Z,LONG,21000.00,6300.00,0.69699,0.69892,TP1,TP1,19.30,5.79,12.1590,-13.70,-421.0710,6,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-09T01:00:00.000000000Z,2026-03-09T02:54:00.000000000Z,LONG,21000.00,14700.00,0.69699,0.69912,RUNNER,RUNNER_STOP,21.30,14.91,31.3110,-13.70,-389.7600,6,cross=0;pullback=1;rejoin=0;continuation=0
2026-03-09T06:00:00.000000000Z,2026-03-09T06:00:00.000000000Z,SHORT,21000.00,0.00,0.70055,0.70055,ENTRY,ENTRY,0.00,0.00,0.0000,0.00,-389.7600,0,cross=0;pullback=1;rejoin=0;continuation=0
